province,population_2021,man,woman,age<20,age20-49,age>50,area_km2,population_density_per_km2,cities_regencies,cities,regencies
JAWA TIMUR,41063094,20485906,20577188,11023024,18525947,7720497,48033,855,38,9,29
JAWA TENGAH,37313063,18778596,18534467,10518074,17006533,9788451,34334,1087,35,6,29
SUMATERA UTARA,15242297,7638329,7603968,5087744,7070987,3083565,72460,210,33,8,25
PAPUA,4313086,2289328,2023758,1188370,2407288,272362,312767,14,29,1,28
JAWA BARAT,48220094,24423410,23796684,14978504,22810165,10431424,37040,1302,27,9,18
SULAWESI SELATAN,9218736,4575422,4643314,2977715,4204883,2036139,45704,202,24,3,21
ACEH,5347889,2676698,2671191,1884540,2486997,976352,56839,94,23,5,18
NUSA TENGGARA TIMUR,5489851,2749006,2740845,1885779,2528106,1075966,46452,118,22,1,21
SUMATERA BARAT,5604457,2815871,2788586,1820822,2527611,1256024,42137,113,19,7,12
SUMATERA SELATAN,8565814,4364258,4201556,2765432,4060139,1740252,86769,99,17,4,13
SULAWESI TENGGARA,2679179,1357522,1321657,964943,1242662,471.573,36158,74,17,2,15
LAMPUNG,8109601,4547517,4334590,1971004,3434879,1903348,33575,265,15,2,13
SULAWESI UTARA,2409921,1359963,1298035,736816,1229924,691258,14511,183,15,4,11
KALIMANTAN BARAT,5466942,2810468,2656474,1795664,2645244,1026034,147035,37,14,2,12
KALIMANTAN TENGAH,2656442,1372773,1283669,878038,1307784,470574,153413,17,14,1,13
KALIMANTAN SELATAN,4119824,2082688,2037136,1307898,1975517,836463,37190,111,13,2,11
SULAWESI TENGAH,3051754,1566691,1485063,995721,1458038,597996,61237,50,13,1,12
PAPUA BARAT,1150468,599890,550578,400408,478467,167822,99505,12,13,1,12
RIAU,6574932,3360287,3214645,2270184,3179321,1125427,89935,73,12,2,10
JAMBI,3603439,1834066,1769373,1159280,1742391,701768,49008,74,11,2,9
MALUKU,1880666,948625,932041,673257,868565,338844,46150,41,11,2,9
NUSA TENGGARA BARAT,5432209,2706822,2725387,1785845,2582766,1063598,19677,276,10,2,8
BENGKULU,2037019,1040481,996538,653451,980022,403545,20130,101,10,1,9
MALUKU UTARA,1323927,678715,645212,456086,648962,218879,32989,40,10,2,8
KALIMANTAN TIMUR,3849832,1995324,1854508,1305634,1872062,672136,127907,30,10,3,7
BALI,4279129,2145798,2133331,1185375,1900254,1193500,5590,765,9,1,8
BANTEN,12030892,6110955,5919937,3827488,5963206,2237615,9352,1286,8,4,4
KEPULAUAN RIAU,2082785,1060044,1022741,698328,1060964,323493,8273,252,7,2,5
GORONTALO,1200663,605977,594686,389835,573569,237259,12045,100,6,1,5
SULAWESI BARAT,1442225,732436,709789,518191,668605,255429,16589,87,6,0,6
DKI JAKARTA,11261595,5655534,5606061,3434747,5424484,2402363,661,17031,6,5,1
KALIMANTAN UTARA,5466942,365008,332995,244508,338305,115189,147035,37,14,2,12
DI YOGYAKARTA,3677446,1820400,1857046,951070,1584144,1142232,3173,1159,5,1,4
BANGKA BELITUNG,1461893,748664,713229,481080,700529,280284,16690,88,6,1,7